číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en,číselník_položka_širší_položka,číselník_položka_širší_shoda,číselník_položka_přesná_shoda
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/mořské-oblasti,mořské-oblasti,Mořské oblasti,Sea regions,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/sr
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/půda,půda,Půda,Soil,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/so
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/rozložení-druhů,rozložení-druhů,Rozložení druhů,Species distribution,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/sd
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/vzduch,vzduch,Vzduch,Air,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/klima,klima,Klima,Climate,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/ochrana-přírody-a-biologická-rozmanitost,ochrana-přírody-a-biologická-rozmanitost,Ochrana přírody a biologická rozmanitost,Nature preservation and biodiversity,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/odpad,odpad,Odpad,Waste,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/voda,voda,Voda,Water,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/horizontální-právní-předpisy,horizontální-právní-předpisy,Horizontální právní předpisy,Horizontal legislation,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/průmyslová-výroba,průmyslová-výroba,Průmyslová výroba,Industrial production,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/členění-indexu-cen-průmyslových-výrobců-podle-činnosti,členění-indexu-cen-průmyslových-výrobců-podle-činnosti,Členění indexu cen průmyslových výrobců podle činnosti,Industrial producer price index breakdowns by activity,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/objem-prodeje-podle-činnosti,objem-prodeje-podle-činnosti,Objem prodeje podle činnosti,Volume of sales by activity,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/statistika-mezinárodního-obchodu-EU-se-zbožím,statistika-mezinárodního-obchodu-EU-se-zbožím,"Statistika mezinárodního obchodu EU se zbožím – vývoz a dovoz, 
členění zároveň podle partnerů, výrobků a toků","EU International trade in goods statistics – exports and imports
breakdowns simultaneously by partner, product and flow",https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/toky-cestovního-ruchu-v-evropě,toky-cestovního-ruchu-v-evropě,Toky cestovního ruchu v Evropě,Tourism flows in Europe,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/harmonizované-indexy-spotřebitelských-cen,harmonizované-indexy-spotřebitelských-cen,Harmonizované indexy spotřebitelských cen,Harmonised Indices of consumer prices,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,společnosti-a-vlastnictví-společností,Společnosti a vlastnictví společností,Companies and company ownership,,,http://data.europa.eu/bna/c_a9135398
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností/základní-informace-o-společnosti-klíčové-atributy,základní-informace-o-společnosti-klíčové-atributy,Základní informace o společnosti: klíčové atributy,Basic company information: key attributes,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,http://data.europa.eu/bna/c_a9135398,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností/dokumenty-a-účty-společnosti,dokumenty-a-účty-společnosti,Dokumenty a účty společnosti,Company documents and accounts,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,http://data.europa.eu/bna/c_a9135398,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,mobilita,Mobilita,Mobility,,,http://data.europa.eu/bna/c_b79e35eb
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/dopravní-sítě,dopravní-sítě,Dopravní sítě,Transport networks,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,vnitrozemské-vodní-cesty,Datové soubory týkající se vnitrozemských vodních cest,Inland waterways datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/vlastnosti-plavební-dráhy,vlastnosti-plavební-dráhy,Vlastnosti plavební dráhy,Fairway characteristics,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/dlouhodobé-překážky-na-plavební-dráze-a-spolehlivost,dlouhodobé-překážky-na-plavební-dráze-a-spolehlivost,Dlouhodobé překážky na plavební dráze a spolehlivost,Long-time obstructions in the fairway and reliability,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/výše-poplatků-za-užívání-infrastruktury-vodních-cest,výše-poplatků-za-užívání-infrastruktury-vodních-cest,Výše poplatků za užívání infrastruktury vodních cest,Rates of waterway infrastructure charges,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/další-fyzická-omezení-na-vodních-cestách,další-fyzická-omezení-na-vodních-cestách,Další fyzická omezení na vodních cestách,Other physical limitations on waterways,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/pravidelné-provozní-doby-plavebních-komor-a-mostů,pravidelné-provozní-doby-plavebních-komor-a-mostů,Pravidelné provozní doby plavebních komor a mostů,Regular lock and bridge operating times,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/umístění-a-vlastnosti-přístavů-a-překladišť,umístění-a-vlastnosti-přístavů-a-překladišť,Umístění a vlastnosti přístavů a překladišť,Location and characteristics of ports and transhipment sites,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/seznam-pomůcek-pro-plavbu-a-dopravního-značení,seznam-pomůcek-pro-plavbu-a-dopravního-značení,Seznam pomůcek pro plavbu a dopravního značení,List of navigation aids and traffic signs,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/pravidla-a-doporučení-týkající-se-plavby,pravidla-a-doporučení-týkající-se-plavby,Pravidla a doporučení týkající se plavby,Navigation rules and recommendations,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/obrysy-hloubky-vody-v-plavebním-kanálu,obrysy-hloubky-vody-v-plavebním-kanálu,Obrysy hloubky vody v plavebním kanálu,Water depths contours in the navigation channel,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/dočasné-částečné-uzávěry-na-vodní-cestě,dočasné-částečné-uzávěry-na-vodní-cestě,Dočasné částečné uzávěry na vodní cestě,Temporary obstructions in the fairway,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/stávající-a-budoucí-vodní-stavy-u-vodočtů,stávající-a-budoucí-vodní-stavy-u-vodočtů,Stávající a budoucí vodní stavy u vodočtů,Present and future water levels at gauges,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/stav-řek-kanálů-zdymadel-a-mostů,stav-řek-kanálů-zdymadel-a-mostů,"Stav řek, kanálů, zdymadel a mostů","State of the rivers, canals, locks and bridges",https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/omezení-způsobená-povodní-a-ledem,omezení-způsobená-povodní-a-ledem,Omezení způsobená povodní a ledem,Restrictions caused by flood and ice,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/krátkodobé-změny-provozních-dob-plavebních-komor-a-mostů,krátkodobé-změny-provozních-dob-plavebních-komor-a-mostů,Krátkodobé změny provozních dob plavebních komor a mostů,Short term changes of lock and bridge operating times,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/krátkodobé-změny-pomůcek-pro-plavbu,krátkodobé-změny-pomůcek-pro-plavbu,Krátkodobé změny pomůcek pro plavbu,Short term changes of aids to navigation,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/osa-vodní-cesty-s-uvedením-kilometráže,osa-vodní-cesty-s-uvedením-kilometráže,Osa vodní cesty s uvedením kilometráže,Waterway axis with kilometres indication,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/odkazy-na-externí-soubory-xml-s-provozními-dobami-omezujících-infrastruktur,odkazy-na-externí-soubory-xml-s-provozními-dobami-omezujících-infrastruktur,Odkazy na externí soubory xml s provozními dobami omezujících infrastruktur,Links to the external xml-files with operation times of restricting structures,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/umístění-přístavů-a-překladišť,umístění-přístavů-a-překladišť,Umístění přístavů a překladišť,Location of ports and transhipment sites,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/referenční-údaje-pro-vodočty-které-jsou-důležité-pro-plavbu,referenční-údaje-pro-vodočty-které-jsou-důležité-pro-plavbu,"Referenční údaje pro vodočty, které jsou důležité pro plavbu",Reference data for water level gauges relevant to navigation,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/břeh-vodní-cesty-při-střední-hladině-vody,břeh-vodní-cesty-při-střední-hladině-vody,Břeh vodní cesty při střední hladině vody,Bank of waterway at mean water level,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/sestavení-pobřežní-čáry,sestavení-pobřežní-čáry,Sestavení pobřežní čáry,Shoreline construction,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/obrysy-zdymadel-a-přehrad,obrysy-zdymadel-a-přehrad,Obrysy zdymadel a přehrad,Contours of locks and dams,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/hranice-plavební-dráhy-plavebního-kanálu,hranice-plavební-dráhy-plavebního-kanálu,Hranice plavební dráhy / plavebního kanálu,Boundaries of the fairway/navigation channel,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/izolovaná-nebezpečí-v-plavební-dráze-plavebním-kanálu-pod-a-nad-hladinou,izolovaná-nebezpečí-v-plavební-dráze-plavebním-kanálu-pod-a-nad-hladinou,Izolovaná nebezpečí v plavební dráze / plavebním kanálu pod a nad hladinou,Isolated dangers in the fairway/navigation channel under and above water,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/oficiální-podpůrné-prostředky-pro-plavbu,oficiální-podpůrné-prostředky-pro-plavbu,"Oficiální podpůrné prostředky pro plavbu (např. bóje, pobřežní znaky, majáky, výstražné značky)","Official aids-to-navigation (e.g. buoys, beacons, lights, notice marks)",https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
