číselník,číselník_název_cs,položka,položka_kód,položka_název_cs
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EA,EA,Morfologické obory a cytologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EB,EB,Genetika a molekulární biologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EC,EC,Imunologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/ED,ED,Fyziologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EE,EE,"Mikrobiologie, virologie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EF,EF,Botanika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EG,EG,Zoologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EH,EH,Ekologie – společenstva
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/EI,EI,Biotechnologie a bionika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FA,FA,Kardiovaskulární nemoci včetně kardiochirurgie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FB,FB,"Endokrinologie, diabetologie, metabolismus, výživa"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FC,FC,Pneumologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FD,FD,Onkologie a hematologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FE,FE,Ostatní obory vnitřního lékařství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FF,FF,"ORL, oftalmologie, stomatologie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FG,FG,Pediatrie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FH,FH,"Neurologie, neurochirurgie, neurovědy"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FI,FI,Traumatologie a ortopedie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FJ,FJ,Chirurgie včetně transplantologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FK,FK,Gynekologie a porodnictví
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FL,FL,"Psychiatrie, sexuologie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FM,FM,Hygiena
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FN,FN,"Epidemiologie, infekční nemoci a klinická imunologie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FO,FO,Dermatovenerologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FP,FP,Ostatní lékařské obory
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FQ,FQ,"Veřejné zdravotnictví, sociální lékařství"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FR,FR,Farmakologie a lékárnická chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/FS,FS,"Lékařská zařízení, přístroje a vybavení"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GA,GA,Zemědělská ekonomie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GB,GB,Zemědělské stroje a stavby
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GC,GC,"Pěstování rostlin, osevní postupy"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GD,GD,"Hnojení, závlahy, zpracování půdy"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GE,GE,Šlechtění rostlin
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GF,GF,"Choroby, škůdci, plevely a ochrana rostlin"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GG,GG,Chov hospodářských zvířat
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GH,GH,Výživa hospodářských zvířat
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GI,GI,Šlechtění a plemenářství hospodářských zvířat
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GJ,GJ,"Choroby a škůdci zvířat, veterinární medicina"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GK,GK,Lesnictví
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GL,GL,Rybářství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/GM,GM,Potravinářství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/IN,IN,Informatika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JA,JA,"Elektronika a optoelektronika, elektrotechnika"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JB,JB,"Senzory, čidla, měření a regulace"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JC,JC,Počítačový hardware a software
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JD,JD,"Využití počítačů, robotika a její aplikace"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JE,JE,"Nejaderná energetika, spotřeba a užití energie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JF,JF,Jaderná energetika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JG,JG,"Hutnictví, kovové materiály"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JH,JH,"Keramika, žáruvzdorné materiály a skla"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JI,JI,Kompositní materiály
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JJ,JJ,Ostatní materiály
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JK,JK,Koroze a povrchové úpravy materiálu
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JL,JL,Únava materiálu a lomová mechanika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JM,JM,Inženýrské stavitelství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JN,JN,Stavebnictví
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JO,JO,Pozemní dopravní systémy a zařízení
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JP,JP,Průmyslové procesy a zpracování
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JQ,JQ,Strojní zařízení a nástroje
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JR,JR,Ostatní strojírenství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JS,JS,"Řízení spolehlivosti a kvality, zkušebnictví"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JT,JT,"Pohon, motory a paliva"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JU,JU,"Aeronautika, aerodynamika, letadla"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JV,JV,Kosmické technologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JW,JW,"Navigace, spojení, detekce a protiopatření"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/JY,JY,"Střelné zbraně, munice, výbušniny, bojová vozidla"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/KA,KA,Vojenství
